Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0590.NEF,-0.9974164278912517,-0.0025503649518437625,4487.477386298079,0.007302984115910983,-1.0042730196746528,2855.349966734883,3.466172472378473e-06,3.0126434663604326e-07,0.9999999999999999
A&W1,DSC_0591.NEF,-0.9976884942949279,-0.00282944826662017,4489.017128238214,0.007957313455636463,-1.0047954887601394,2851.0987688434793,3.6155362728740124e-06,2.6957667959411974e-07,1.0
A&W1,DSC_0594.NEF,-0.9977090755786133,-0.0021761206567532275,4487.607177748103,0.007081740945992297,-1.0041414633756651,2853.3026885782206,3.41252489295865e-06,4.54272664991973e-07,0.9999999999999999
A&W1,DSC_0595.NEF,-0.9979571970474242,-0.003208381127380961,4488.730655023888,0.0076836847319816624,-1.0048193523206501,2851.011169366687,3.5704094219467037e-06,8.882078699638843e-09,1.0
A&W1,DSC_0596.NEF,-0.9966488125176061,-0.004075066090901272,4484.201416826274,0.007619642964792189,-1.0033946769063282,2847.469153698467,3.2008953564376054e-06,-4.724938641402191e-07,1.0
A&W1,DSC_0598.NEF,-0.9975566318488027,-0.00274531567897745,4487.589545301574,0.006921965573902226,-1.0043243695803614,2850.399729366347,3.4361406187571955e-06,1.662047126773095e-07,0.9999999999999999
A&W1,DSC_0599.NEF,-0.9966875742049223,-0.0035242316901146677,4487.166235636854,0.007965266395426402,-1.005111328138459,2850.6720420366223,3.611423582788475e-06,2.9506537632783258e-08,1.0
A&W1,DSC_0600.NEF,-0.9974988554356357,-0.002593997095937703,4487.079277467243,0.007225145559232891,-1.0041631750639648,2849.573003667056,3.383440188358865e-06,2.924592502798002e-07,1.0
A&W1,DSC_0601.NEF,-0.99748145218598,-0.002466754209242154,4486.96731539844,0.006881414398945355,-1.0039053191934983,2846.2359951846665,3.3633021858805782e-06,3.3334198330276805e-07,0.9999999999999999
A&W1,DSC_0602.NEF,-0.99708300633934,-0.003047773716408992,4484.341052551374,0.006441517234182357,-1.0032411804589316,2845.995722524818,3.0778823770750523e-06,-1.0382520566292182e-08,0.9999999999999999
A&W1,DSC_0603.NEF,-0.9967718481248556,-0.002913286806638734,4483.038958024229,0.005078396284606062,-1.0023272287374956,2849.873976306318,2.7768219140603726e-06,1.7742888792912117e-07,1.0
A&W1,DSC_0605.NEF,-0.9971461545502885,-0.002548750557044556,4485.294431968469,0.0065178800730443616,-1.004111418919236,2848.1554320824553,3.3248265068319453e-06,-8.789272513821956e-09,1.0
A&W1,DSC_0606.NEF,-0.997626164733608,-0.0019345350180203745,4486.786135035872,0.006773485778463603,-1.0039528041008228,2853.4678572677226,3.3212415246168165e-06,4.04501699624644e-07,1.0
A&W1,DSC_0607.NEF,-0.9975015868275182,-0.002411714005876901,4488.554566760205,0.007399393337934544,-1.0050185643010263,2851.196401832013,3.742871460440456e-06,2.833576284042201e-07,1.0
A&W1,DSC_0609.NEF,-0.9974993637183526,-0.0027194108970742237,4488.016391710117,0.0074338630571290434,-1.004599367765908,2848.201453946654,3.527968253862479e-06,1.5900579512151194e-07,0.9999999999999999
A&W1,DSC_0610.NEF,-0.9972372306360937,-0.0024448630298933216,4481.6848931119275,0.006311525392963122,-1.001986118658275,2844.540817109173,2.3771933642519037e-06,3.2611080849109474e-07,1.0
A&W1,DSC_0611.NEF,-0.9971988361490535,-0.002391947618742695,4485.3522451788685,0.006314570438112054,-1.0036358997574173,2848.9012056484985,3.217046254978834e-06,2.763759350210056e-07,1.0
A&W1,DSC_0612.NEF,-0.9969576185548914,-0.0033781424669610785,4487.777736591144,0.00797414745634593,-1.00513812681934,2848.853778960278,3.6413516394222815e-06,1.4314805461000855e-08,1.0
A&W1,DSC_0614.NEF,-0.9975399727123216,-0.0019969142905453636,4483.822531385178,0.005770090858130849,-1.0022454693876046,2848.0313564815615,2.6202209920609015e-06,4.610797652067136e-07,1.0
A&W1,DSC_0615.NEF,-0.9963115191643508,-0.003591587849814601,4485.76011188692,0.007438753337501054,-1.0048659057983582,2848.4781402549775,3.6452333483196106e-06,-2.9351316686923705e-07,1.0
A&W1,DSC_0623.NEF,-0.996744725629472,-0.0030937690683543657,4484.432343585087,0.007045596578403345,-1.003438390245664,2850.1090345756757,3.028562326029692e-06,9.402000646353196e-08,1.0
A&W1,DSC_0626.NEF,-0.9962903244315978,-0.003791640494828659,4481.328447188424,0.006467717784893942,-1.0019685591460972,2845.080936691777,2.780048233582271e-06,-3.75193685210818e-07,1.0
A&W1,DSC_0628.NEF,-0.9979084939696183,-0.002081262871585305,4488.5576424274805,0.0067999924110066085,-1.004068427162225,2851.861817107512,3.3870661379685805e-06,5.819576524900901e-07,1.0
A&W1,DSC_0629.NEF,-0.9977877635705796,-0.002242791025529943,4488.363470273416,0.007317752677497038,-1.0042572345401326,2851.4625507388473,3.489073519781017e-06,4.343442139620074e-07,1.0
A&W1,DSC_0630.NEF,-0.9969323387168965,-0.0034627510466883997,4487.200793094757,0.007917840465115511,-1.004731887109135,2850.1966450543837,3.5155345104119643e-06,6.240588624684415e-09,1.0
A&W1,DSC_0631.NEF,-0.9974276007690392,-0.0022348492010857445,4486.416797396829,0.006574084521882548,-1.0038431698847181,2851.0054585729326,3.248672940468252e-06,4.3089394708578637e-07,1.0
A&W1,DSC_0632.NEF,-0.9972209679560031,-0.0029893736714369764,4486.070144658923,0.007243285526885908,-1.0036984724153197,2848.8290799878137,3.3258889548081966e-06,1.0932384461305287e-08,1.0
A&W1,DSC_0633.NEF,-0.9974591892010024,-0.00243082386484039,4487.333043381558,0.007039247481398762,-1.0040546628780287,2852.4943059193724,3.3794365922417703e-06,4.271800208319676e-07,0.9999999999999999
A&W1,DSC_0634.NEF,-0.9972643528108311,-0.0030569606896191236,4486.984349119588,0.007124758006050498,-1.0040487286554654,2849.1430505224976,3.3670805716377233e-06,7.454601781329792e-08,1.0
A&W1,DSC_0635.NEF,-0.9973411504147267,-0.0028297569254560557,4486.79756632121,0.006810899030352213,-1.0030506774491286,2850.3724417763246,3.1500834317019932e-06,3.3224988235168874e-07,1.0
A&W1,DSC_0637.NEF,-0.9970648459544057,-0.002941838219181193,4482.949777650676,0.006846730945124584,-1.0029431124299737,2849.9191462960584,2.663000091190342e-06,1.1263720500900534e-08,1.0
A&W1,DSC_0638.NEF,-0.9978144909218667,-0.0023780075767001036,4488.61159127219,0.007255241365084874,-1.0044751313810378,2853.7686709520567,3.4931443822104838e-06,3.077201272322673e-07,1.0
A&W1,DSC_0639.NEF,-0.9976739288521937,-0.002369320037876468,4487.505659017083,0.0070248873816029485,-1.0041656286325455,2853.267951825504,3.379435811118995e-06,3.5485697154799375e-07,0.9999999999999999
A&W1,DSC_0640.NEF,-0.9975963872549587,-0.002543133909204284,4487.963295294957,0.007156940638542766,-1.0043077677716703,2854.518663532576,3.455921000641313e-06,3.298632526754998e-07,1.0
A&W1,DSC_0641.NEF,-0.9980532542655309,-0.0018452646679665882,4489.838676321122,0.007527857538353366,-1.0045707946118414,2853.5050611676634,3.6010979661771736e-06,6.870046404004451e-07,1.0
A&W1,DSC_0647.NEF,-0.9952373665464885,-0.005508002462166993,4485.38753487281,0.00769148387153167,-1.004312895513512,2846.377006982703,3.7842983941224804e-06,-9.895586254423693e-07,1.0
A&W1,DSC_0648.NEF,-0.9956080477473508,-0.0047532488436439835,4480.995638435941,0.00665592558695199,-1.0018857255232372,2843.6790500755337,2.5616111230738104e-06,-5.195259754307622e-07,1.0
A&W1,DSC_0649.NEF,-0.9971337155857646,-0.0030611916863136214,4486.886496783723,0.00685150507374207,-1.003584415566029,2846.0343498235425,3.2246987573630657e-06,3.5487960350363605e-08,1.0
A&W1,DSC_0651.NEF,-0.9942295786774528,-0.006543703697918918,4482.323790278123,0.0067074361168340466,-1.002755794226361,2844.963598405358,3.5145265027560868e-06,-1.5973419728457105e-06,0.9999999999999999
A&W1,DSC_0652.NEF,-0.9969894906889671,-0.003569435329758394,4486.783863528831,0.006696532853856988,-1.0029197530100356,2847.2325501763853,3.0327312705085945e-06,9.331006883122033e-08,1.0
A&W1,DSC_0653.NEF,-0.9969651407585214,-0.003938257323259886,4487.313630675175,0.007578696728488889,-1.0034320824183434,2845.377721146704,3.158824507548089e-06,-2.9468081951459373e-08,1.0
A&W1,DSC_0654.NEF,-0.9959835641473693,-0.006586574895897268,4494.292129596634,0.010139731257138646,-1.0051005094358851,2836.0769126492287,3.735457000555028e-06,-3.2277852211212897e-07,1.0
A&W1,DSC_0676.NEF,-0.9954497590803443,-0.004807216616537496,4485.9279811853685,0.0068954571681612625,-1.003938586994215,2827.409673168211,3.4540091672910814e-06,-6.450915069877504e-07,1.0
A&W1,DSC_0677.NEF,-0.9957365400328918,-0.004625006127160246,4487.611829320555,0.007330915627657737,-1.0045689180471133,2826.144941578515,3.6065413719275997e-06,-5.116576427453711e-07,1.0
A&W1,DSC_0678.NEF,-0.9946299962483582,-0.00636203237325787,4486.3079266229715,0.007612936193947441,-1.0043400514264087,2824.148462424876,4.042342703901172e-06,-1.605190752323511e-06,0.9999999999999999
A&W1,DSC_0679.NEF,-0.9932755118020662,-0.007910506472584558,4482.328755246419,0.006691952739403686,-1.0027783380496738,2822.717371173064,3.6839177124202858e-06,-2.169393276191202e-06,1.0
A&W1,DSC_0680.NEF,-0.9944640800905143,-0.006524267981725481,4485.854297418332,0.0072121475629052184,-1.0035554748682363,2823.952564109244,3.612269880200074e-06,-1.3119619278188987e-06,1.0
